,0
0,5.7313445400424134
1,5.247960704489777
2,5.754717372954284
3,5.751114228483034
4,5.635968698470214
5,5.6509588160696635
6,5.6375782441532145
7,5.781663284991655
8,5.578837218114764
9,5.603618905770178
10,5.653235207442251
11,5.6668559280391495
12,5.582002601093208
13,5.831118461501061
14,5.634923331917211
15,5.645038932422724
16,5.837822890070052
17,5.560461351744814
18,5.560657292468749
19,5.646183105381906
20,5.555048078686903
21,5.614986096009984
22,5.049880282954895
23,5.636822874514803
24,5.8241239279816845
25,5.555224236522443
26,5.683608106115332
27,5.639856307614223
28,5.8012228900975735
29,5.585581212460543
30,5.639424078363252
31,5.753043836426374
32,5.546453499915566
33,5.128033931547366
34,5.595697203979213
35,5.7399193359253555
36,5.984547810471623
37,5.642432978358756
38,5.79759521252241
39,5.629588192314976
40,5.289322272539247
41,5.706317953491028
42,5.504051315528613
43,5.788009865647732
44,5.701788031761347
45,5.6078549704318545
46,5.637490610266498
47,5.765525134279612
48,5.954465798775241
49,5.350375287537868
50,5.781663284991655
51,5.3899747951106045
52,5.432490926612403
53,5.764479767726609
54,5.777673009288057
55,5.406809856857983
56,5.687490074981713
57,5.684618657107067
58,5.758104011786891
59,5.6243802523762465
60,5.8632177150275
61,5.334742857352746
62,5.748827554653093
63,5.137202081843946
64,5.703358011667559
65,5.666713695702771
66,5.647488403503752
67,5.633092530380049
68,5.816786579222267
69,5.89879213133537
70,5.4167295166395615
71,5.431802517910207
72,5.753343333772007
73,5.840541793150965
74,5.714367245958655
75,5.525293849557688
76,5.444667086842381
77,5.662517196817883
78,5.612669356834294
79,5.7242520901789655
80,5.785501935963628
81,5.894870596692201
82,5.7141610227773665
83,5.49965887591979
84,5.82096804543428
85,5.4278169924221285
86,5.712418745189028
87,5.619482092240504
88,5.61080462979797
89,5.196041914288575
90,5.659430055330908
91,5.778738158729454
92,5.618947196429942
93,5.659061816924846
94,5.735025926005133
95,5.488555477402243
96,5.688118244956619
97,5.814975560573498
98,5.560479462544788
99,5.345462094729251
100,5.522506205416345
101,5.667454922730415
102,5.605645648031276
103,5.612753130567597
104,5.843000764663034
105,5.764479767726609
106,5.653957433607815
107,5.663140616577269
108,5.5170138008048575
109,5.760107111006181
